2022-11-25 11:30:29,420 [main] INFO  com.example.demo.DemoApplication 55 - Starting DemoApplication using Java 17.0.4.1 on June4693-450G7 with PID 28072 (C:\Users\june.wu\Documents\GitHub\cameldemo1123_multifn\spring1124_multifn\demo\target\classes started by June.Wu in C:\Users\june.wu\Documents\GitHub\cameldemo1123_multifn\spring1124_multifn\demo)
2022-11-25 11:30:29,425 [main] INFO  com.example.demo.DemoApplication 645 - No active profile set, falling back to 1 default profile: "default"
2022-11-25 11:30:30,847 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer 108 - Tomcat initialized with port(s): 8080 (http)
2022-11-25 11:30:30,868 [main] INFO  o.a.coyote.http11.Http11NioProtocol 173 - Initializing ProtocolHandler ["http-nio-8080"]
2022-11-25 11:30:30,869 [main] INFO  o.a.catalina.core.StandardService 173 - Starting service [Tomcat]
2022-11-25 11:30:30,870 [main] INFO  o.a.catalina.core.StandardEngine 173 - Starting Servlet engine: [Apache Tomcat/9.0.69]
2022-11-25 11:30:31,045 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] 173 - Initializing Spring embedded WebApplicationContext
2022-11-25 11:30:31,045 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext 290 - Root WebApplicationContext: initialization completed in 1566 ms
2022-11-25 11:30:31,841 [main] INFO  o.a.coyote.http11.Http11NioProtocol 173 - Starting ProtocolHandler ["http-nio-8080"]
2022-11-25 11:30:31,867 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer 220 - Tomcat started on port(s): 8080 (http) with context path ''
2022-11-25 11:30:31,931 [main] INFO  o.a.c.i.engine.AbstractCamelContext 3004 - Apache Camel 3.17.0 (camel-2) is starting
2022-11-25 11:30:31,938 [main] INFO  o.a.c.i.engine.AbstractCamelContext 3165 - Routes startup (total:0 started:0)
2022-11-25 11:30:31,938 [main] INFO  o.a.c.i.engine.AbstractCamelContext 3194 - Apache Camel 3.17.0 (camel-2) started in 64ms (build:11ms init:48ms start:5ms)
2022-11-25 11:30:31,944 [main] INFO  com.example.demo.DemoApplication 61 - Started DemoApplication in 2.974 seconds (JVM running for 3.548)
2022-11-25 11:30:31,950 [main] INFO  com.example.demo.Camel 17 - 哈囉
