2022-11-25 15:17:28,250 [main] INFO  com.example.demo.DemoApplication 55 - Starting DemoApplication using Java 17.0.4.1 on June4693-450G7 with PID 12420 (C:\Users\june.wu\Documents\GitHub\cameldemo1123_multifn\spring1124_multifn\demo\target\classes started by June.Wu in C:\Users\june.wu\Documents\GitHub\cameldemo1123_multifn\spring1124_multifn\demo)
2022-11-25 15:17:28,254 [main] INFO  com.example.demo.DemoApplication 645 - No active profile set, falling back to 1 default profile: "default"
2022-11-25 15:17:30,454 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer 108 - Tomcat initialized with port(s): 8080 (http)
2022-11-25 15:17:30,471 [main] INFO  o.a.coyote.http11.Http11NioProtocol 173 - Initializing ProtocolHandler ["http-nio-8080"]
2022-11-25 15:17:30,472 [main] INFO  o.a.catalina.core.StandardService 173 - Starting service [Tomcat]
2022-11-25 15:17:30,473 [main] INFO  o.a.catalina.core.StandardEngine 173 - Starting Servlet engine: [Apache Tomcat/9.0.69]
2022-11-25 15:17:30,700 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] 173 - Initializing Spring embedded WebApplicationContext
2022-11-25 15:17:30,701 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext 290 - Root WebApplicationContext: initialization completed in 2376 ms
2022-11-25 15:17:32,264 [main] INFO  o.a.coyote.http11.Http11NioProtocol 173 - Starting ProtocolHandler ["http-nio-8080"]
2022-11-25 15:17:32,343 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer 220 - Tomcat started on port(s): 8080 (http) with context path ''
2022-11-25 15:17:32,496 [main] INFO  o.a.c.i.engine.AbstractCamelContext 3004 - Apache Camel 3.17.0 (camel-2) is starting
2022-11-25 15:17:32,508 [main] INFO  o.a.c.i.engine.AbstractCamelContext 3165 - Routes startup (total:0 started:0)
2022-11-25 15:17:32,509 [main] INFO  o.a.c.i.engine.AbstractCamelContext 3194 - Apache Camel 3.17.0 (camel-2) started in 149ms (build:20ms init:120ms start:9ms)
2022-11-25 15:17:32,520 [main] INFO  com.example.demo.DemoApplication 61 - Started DemoApplication in 4.89 seconds (JVM running for 5.591)
2022-11-25 15:17:34,530 [main] ERROR Apps 93 - Failed to create route route1 at: >>> To[jdbc:dbSource] <<< in route: Route(route1)[From[timer://foo?repeatCount=1] -> [SetBody[co... because of No endpoint could be found for: jdbc://dbSource, please check your classpath contains the needed Camel component jar.
2022-11-25 15:17:34,531 [main] INFO  Apps 96 - finally!
